ticker,per,date,time,close,vol
БСП ао,D,2016-11-04,000000,56.8,0
БСП ао,D,2016-11-05,000000,56.8,0
БСП ао,D,2016-11-06,000000,56.8,0
БСП ао,D,2016-11-07,000000,56.1,92370
БСП ао,D,2016-11-08,000000,56.1,328210
БСП ао,D,2016-11-09,000000,55.55,191240
БСП ао,D,2016-11-10,000000,56.25,131330
БСП ао,D,2016-11-11,000000,55.9,84400
БСП ао,D,2016-11-12,000000,55.9,0
БСП ао,D,2016-11-13,000000,55.9,0
БСП ао,D,2016-11-14,000000,55.8,45730
БСП ао,D,2016-11-15,000000,55.95,84390
БСП ао,D,2016-11-16,000000,56,17590
БСП ао,D,2016-11-17,000000,55.45,68810
БСП ао,D,2016-11-18,000000,55.25,58820
БСП ао,D,2016-11-19,000000,55.25,0
БСП ао,D,2016-11-20,000000,55.25,0
БСП ао,D,2016-11-21,000000,55.3,67430
БСП ао,D,2016-11-22,000000,56.1,42190
БСП ао,D,2016-11-23,000000,55.7,140970
БСП ао,D,2016-11-24,000000,56.05,103630
БСП ао,D,2016-11-25,000000,56.25,83850
БСП ао,D,2016-11-26,000000,56.25,0
БСП ао,D,2016-11-27,000000,56.25,0
БСП ао,D,2016-11-28,000000,56.4,219700
БСП ао,D,2016-11-29,000000,56.45,495990
БСП ао,D,2016-11-30,000000,56,37510
БСП ао,D,2016-12-01,000000,56,95230
БСП ао,D,2016-12-02,000000,55.95,89550
БСП ао,D,2016-12-03,000000,55.95,0
БСП ао,D,2016-12-04,000000,55.95,0
БСП ао,D,2016-12-05,000000,56.3,123220
БСП ао,D,2016-12-06,000000,56.9,159590
БСП ао,D,2016-12-07,000000,58.1,313080
БСП ао,D,2016-12-08,000000,59.1,276000
БСП ао,D,2016-12-09,000000,61.8,458580
БСП ао,D,2016-12-10,000000,61.8,0
БСП ао,D,2016-12-11,000000,61.8,0
БСП ао,D,2016-12-12,000000,64.3,460240
БСП ао,D,2016-12-13,000000,65.15,156800
БСП ао,D,2016-12-14,000000,67.5,284810
БСП ао,D,2016-12-15,000000,67.9,99990
БСП ао,D,2016-12-16,000000,67,116480
БСП ао,D,2016-12-17,000000,67,0
БСП ао,D,2016-12-18,000000,67,0
